variance,skewness,curtosis,entropy,class
-4.148,7.122,-0.083,-6.417,1
0.588,10.773,-1.388,-4.328,0
0.607,3.954,-4.772,-4.485,1
-3.188,-7.576,11.868,-0.579,1
-3.883,4.898,-0.923,-5.080,1
-1.508,1.922,7.147,0.891,0
4.571,7.209,-3.279,-1.494,0
-3.757,-8.292,10.303,0.381,1
3.926,6.030,-2.016,-0.066,0
-1.666,-0.300,1.424,0.025,1
0.759,0.292,-1.651,0.838,1
3.138,-4.110,4.570,0.990,0
3.929,-2.916,2.213,0.308,0
-2.380,-1.440,1.127,0.161,1
-1.279,2.138,-0.476,-1.397,1
-0.420,2.909,-1.786,-2.207,1
1.164,3.809,-4.941,-4.091,1
0.637,5.202,-5.216,-6.121,1
-0.627,-6.301,4.784,1.106,1
3.270,-4.341,3.688,-0.298,0
2.018,1.798,-2.958,0.210,1
0.380,0.710,0.757,-0.444,0
-2.966,-10.326,8.784,-2.114,1
-2.483,-7.449,6.896,-0.645,1
2.824,2.860,0.197,0.572,0
4.560,-2.421,2.641,1.617,0
4.796,6.986,-1.997,-0.350,0
-5.490,9.105,-0.388,-5.976,1
-1.242,-1.718,-0.526,-0.210,1
-5.386,9.121,-0.419,-5.918,1
-3.993,5.833,0.547,-4.938,1
-1.180,11.509,0.156,-6.819,0
-4.367,6.069,0.572,-5.467,1
3.446,2.951,1.027,0.546,0
4.143,-3.679,3.828,1.630,0
-2.839,-6.630,10.485,-0.421,1
0.559,-0.310,0.183,0.447,1
-1.300,10.268,-2.953,-5.864,0
-0.719,-5.715,3.830,1.023,1
-3.580,0.459,2.346,-0.457,1
3.300,7.081,-1.326,0.223,0
0.705,0.172,-1.786,0.361,1
-1.480,-10.524,9.918,-0.503,1
1.458,-0.085,4.178,0.591,0
0.045,6.733,1.071,-0.933,0
-1.848,0.310,0.773,1.419,1
-1.254,10.880,1.931,-4.324,0
0.956,2.473,4.458,0.216,0
-1.841,10.831,2.769,-3.090,0
-1.056,0.795,-1.697,-0.468,1
0.890,2.264,-3.105,-0.119,1
-2.535,-0.774,3.360,0.002,1
1.300,2.576,2.011,-0.190,0
-2.322,-9.330,9.233,-0.799,1
3.992,-4.468,3.730,-0.110,0
-1.443,3.292,-1.970,-3.439,1
-4.486,-13.289,17.309,-3.219,1
0.336,6.837,0.697,-0.557,0
4.063,3.584,0.725,0.395,0
-1.438,-1.432,2.114,0.421,1
-1.706,2.796,-2.378,-2.349,1
1.342,-4.422,8.090,-1.735,0
0.598,3.501,-3.979,-1.784,1
2.561,9.268,-3.591,-1.356,0
-2.902,-7.656,11.832,-0.843,1
-2.988,0.312,0.450,0.069,1
2.260,-0.033,4.736,-0.278,0
-3.605,-5.974,10.092,-0.828,1
-2.330,-9.953,8.476,-1.873,1
2.974,8.960,-2.902,-1.038,0
2.672,5.657,0.730,-1.489,0
-5.441,7.236,0.109,-7.564,1
-3.724,1.904,-0.035,-2.510,1
-1.588,-6.607,5.802,0.316,1
-5.030,7.503,-0.134,-7.503,1
2.830,6.348,-0.735,-0.587,0
-1.167,-1.424,2.924,0.661,1
-4.233,4.917,-0.492,-5.321,1
-2.292,-7.257,7.960,0.921,1
-0.943,0.039,-0.242,0.316,1
-6.163,8.710,-0.216,-3.635,1
2.730,2.870,0.511,0.510,0
-2.262,12.118,0.288,-7.758,0
-0.394,-0.021,-0.066,-0.447,1
1.311,4.546,2.293,0.225,0
2.957,-4.594,5.907,0.572,0
4.368,9.672,-3.961,-3.163,0
4.992,7.865,-2.352,-0.720,0
4.306,8.207,-2.782,-1.434,0
1.508,1.960,-3.058,-0.122,1
4.290,9.181,-4.607,-4.326,0
5.438,9.467,-4.942,-3.920,0
2.373,10.473,-3.009,-3.201,0
-2.659,-1.606,1.365,0.165,1
0.469,-0.633,7.385,0.365,0
-0.596,2.481,-2.867,-0.898,1
0.380,0.710,0.757,-0.444,0
-2.734,0.455,2.439,0.218,1
4.071,10.402,-4.172,-4.758,0
0.380,0.710,0.757,-0.444,0
2.856,6.918,-0.794,0.484,0
-1.671,-2.090,1.584,0.712,1
-1.395,2.313,-0.445,-1.490,1
2.646,-4.815,6.355,0.003,0
4.808,2.233,-0.263,1.553,0
-1.639,3.358,-1.730,-3.565,1
3.559,1.308,1.291,1.656,0
-1.131,1.846,-1.357,-1.381,1
-6.739,6.988,0.678,-7.589,1
1.510,0.039,6.233,-0.303,0
1.012,0.902,-2.351,0.427,1
4.033,0.232,0.891,1.182,0
-3.593,0.230,0.713,-0.333,1
0.110,1.974,-3.367,-0.653,1
-3.608,3.325,-0.520,-3.574,1
1.782,6.918,-1.274,-1.576,0
-0.526,-0.248,-0.456,0.419,1
-2.250,3.313,-0.884,-2.897,1
-2.044,1.227,0.186,-1.091,1
4.337,-3.584,3.688,0.749,0
-2.435,-9.250,8.992,-0.500,1
1.750,-0.176,5.183,1.292,0
0.010,3.561,-4.407,-4.410,1
-3.571,-12.492,14.888,-0.470,1
1.563,0.896,-1.970,0.655,1
5.391,9.995,-3.808,-3.364,0
1.490,3.429,-4.031,-1.426,1
4.348,11.108,-4.086,-4.254,0
2.092,-6.810,8.464,-0.602,0
-3.536,0.304,0.657,-0.296,1
-7.036,9.293,0.166,-4.540,1
-5.481,8.182,0.278,-5.032,1
4.213,-2.806,2.012,0.674,0
4.545,8.227,-2.417,-1.587,0
-2.248,3.091,-2.397,-2.671,1
-1.361,10.694,1.702,-2.903,0
4.568,3.193,-2.106,0.297,0
2.972,6.837,-0.270,0.713,0
-0.398,5.978,1.391,-1.162,0
-0.122,8.807,0.946,-4.227,0
3.467,6.870,-1.057,-0.731,0
3.990,-2.707,2.395,0.863,0
-2.896,-12.021,11.915,-2.755,1
-1.702,-0.010,-0.993,-0.531,1
-2.314,-0.685,1.983,-0.448,1
-1.789,-6.349,5.615,0.426,1
-0.167,7.627,1.206,-3.624,0
1.866,7.776,-0.238,-2.963,0
1.345,0.236,-1.879,1.326,1
2.146,6.080,-0.578,-2.230,0
1.635,3.286,2.875,0.087,0
2.942,7.410,-0.977,-0.884,0
-0.410,-0.155,0.061,-0.089,1
0.571,-0.025,1.242,-0.562,0
2.621,5.792,0.066,-1.576,0
1.590,2.295,3.240,0.184,0
-3.320,-0.027,2.962,-0.450,1
-0.815,-5.738,4.392,0.321,1
-0.280,3.073,-3.386,-2.916,1
0.738,4.853,-4.799,-5.666,1
-2.124,-6.897,5.599,-0.472,1
1.570,7.913,0.290,-2.195,0
-0.363,8.290,-1.921,-3.333,0
3.550,8.617,-3.279,-1.201,0
-1.257,-1.473,2.872,0.447,1
-2.167,1.593,0.045,-1.678,1
-0.024,7.174,0.785,-0.757,0
0.488,3.567,-4.388,-3.812,1
-3.775,2.516,0.833,-0.310,1
3.457,9.523,-4.011,-3.594,0
2.255,8.099,-0.249,-3.270,0
2.550,-4.952,6.373,-0.416,0
3.824,-3.108,2.454,0.520,0
-1.102,-5.840,4.564,0.687,1
6.563,9.819,-4.411,-3.226,0
0.519,-3.263,3.090,-0.985,0
0.428,-0.950,-1.073,0.321,1
4.248,7.696,-2.770,-1.077,0
4.650,7.634,-1.943,-0.375,0
-1.863,-0.848,2.538,0.097,1
1.143,0.834,5.455,-0.570,0
0.191,9.130,-3.725,-5.822,0
1.488,3.627,3.308,0.489,0
3.459,11.112,-4.204,-5.093,0
3.409,5.405,-2.523,-0.900,0
-1.573,1.064,-0.712,-0.839,1
3.467,-4.072,4.288,1.542,0
-6.282,6.665,0.526,-7.011,1
-2.221,-0.238,0.560,0.056,1
-1.734,2.018,7.762,0.935,0
-1.478,0.143,-1.162,-0.486,1
-1.595,-6.572,4.769,-0.944,1
-0.540,7.327,0.466,-1.454,0
1.040,-6.932,8.289,-1.299,0
-1.300,10.268,-2.953,-5.864,0
2.852,9.171,-3.646,-1.205,0
3.203,5.759,-0.753,-0.613,0
5.030,-4.970,3.502,-0.238,0
-5.166,8.043,0.044,-4.498,1
0.063,2.930,-3.547,-2.674,1
3.883,6.402,-2.432,-0.984,0
3.395,1.148,2.140,2.086,0
4.176,10.261,-3.855,-4.306,0
4.160,11.220,-3.614,-4.082,0
-1.186,-1.252,2.264,0.772,1
0.518,0.259,-0.841,0.961,1
1.569,6.346,-0.183,-2.410,0
-3.346,-0.505,2.633,0.537,1
3.154,-5.171,6.599,0.575,0
2.766,0.662,4.149,-0.284,0
-4.946,3.572,0.827,-1.496,1
-2.066,1.051,-0.463,-1.097,1
-0.299,2.477,-2.951,-0.662,1
-1.956,0.207,1.247,-0.371,1
1.527,-5.587,8.656,-1.722,0
-4.746,3.120,1.075,-1.297,1
-2.121,-0.056,1.949,1.353,1
2.680,3.135,0.341,0.585,0
5.746,10.181,-4.786,-4.337,0
-1.942,0.377,-1.290,-0.825,1
0.947,-0.571,7.190,-0.676,0
-1.955,-6.976,5.538,-0.129,1
2.563,6.777,-0.620,0.386,0
-1.759,-6.462,8.477,0.320,1
5.627,10.086,-4.293,-3.814,0
-2.075,1.277,-0.642,-1.264,1
-2.648,10.137,-1.331,-5.471,0
-0.908,-7.903,6.781,0.342,1
4.095,-2.967,2.369,0.754,0
2.307,3.536,0.576,0.419,0
-2.029,3.847,-0.634,-1.175,1
3.897,7.416,-1.825,0.140,0
-0.873,1.653,-2.196,-0.781,1
2.565,8.633,-2.994,-1.308,0
0.295,4.886,-5.149,-6.232,1
-1.423,-0.989,2.359,0.395,1
2.808,11.305,-3.339,-4.419,0
1.132,3.965,3.398,0.844,0
2.642,7.586,-0.286,-1.668,0
-2.761,-10.510,9.024,-1.955,1
-1.845,1.254,0.272,-1.073,1
3.576,9.775,-3.979,-3.464,0
-2.005,-0.495,1.333,1.654,1
-0.896,3.002,-3.607,-3.446,1
3.001,5.813,-2.231,-0.666,0
3.586,-3.096,2.809,0.245,0
3.477,-0.153,2.530,2.450,0
3.063,-3.332,5.130,0.827,0
0.927,9.432,-0.663,-1.673,0
-0.775,-1.877,2.402,1.132,1
-1.389,-4.877,6.477,0.342,1
-3.551,1.895,0.186,-2.441,1
-1.803,11.882,2.046,-5.273,0
-4.143,2.775,0.683,-0.720,1
-4.286,8.523,3.139,-0.916,0
4.021,-2.191,2.465,1.141,0
0.118,0.391,-0.982,0.428,1
-1.710,-8.790,7.973,-0.455,1
3.977,11.151,-3.927,-4.344,0
1.811,7.607,-0.979,-2.467,0
3.732,-3.884,3.358,-0.006,0
4.042,-4.391,4.747,1.137,0
-2.484,12.161,2.820,-3.742,0
-4.021,-12.801,15.620,-0.956,1
1.594,4.705,1.376,0.082,0
3.583,-3.797,3.439,-0.125,0
-2.456,-0.244,1.404,-0.459,1
0.066,2.491,-2.940,-0.622,1
-4.500,3.429,0.563,-1.167,1
-1.732,-9.283,7.719,-1.717,1
-0.780,3.232,-3.282,-3.100,1
-6.960,8.993,0.218,-4.572,1
-3.682,3.224,-0.693,-3.400,1
2.994,7.201,-1.215,0.321,0
3.516,10.189,-4.276,-4.978,0
3.812,10.146,-4.046,-4.563,0
-1.285,3.272,-1.767,-3.261,1
-5.873,9.175,-0.274,-6.042,1
4.363,0.464,1.428,2.020,0
3.591,3.013,0.729,0.564,0
-0.826,2.961,-1.286,-1.465,1
-0.787,9.566,-3.787,-7.503,0
1.061,2.454,2.519,-0.170,0
-0.691,-0.501,-0.354,0.475,1
-1.438,-1.862,4.026,0.551,1
2.509,6.841,-0.029,0.449,0
4.324,-4.883,3.436,-0.578,0
2.537,2.599,2.094,0.201,0
-0.234,3.240,-3.067,-2.778,1
4.827,0.803,1.637,1.188,0
-1.941,-8.685,9.155,0.940,1
3.272,1.784,2.116,0.613,0
3.885,-3.034,2.533,0.202,0
-0.913,-2.011,-0.196,0.066,1
1.019,2.330,4.933,0.829,0
3.583,1.442,1.022,1.401,0
-0.493,3.061,-1.836,-2.834,1
-3.006,-12.238,11.955,-2.160,1
5.494,1.548,0.042,1.928,0
2.368,-6.839,8.421,-0.448,0
0.895,4.774,-4.843,-5.591,1
-4.225,6.270,0.158,-5.546,1
-2.575,-5.657,6.103,0.652,1
0.052,7.052,-2.054,-3.151,0
-3.386,-12.989,13.055,-2.720,1
-2.799,1.968,-0.424,-2.112,1
0.333,3.311,-4.508,-4.012,1
-1.040,9.399,0.860,-5.334,0
1.326,1.033,5.657,-0.413,0
-0.451,-1.368,7.086,-0.403,0
3.608,6.858,-1.162,0.282,0
-6.524,9.601,-0.254,-6.964,1
5.242,10.539,-4.117,-4.280,0
0.003,-4.006,1.796,0.917,1
-1.997,-9.500,9.682,-0.129,1
0.643,7.102,0.349,-0.413,0
2.162,-6.880,8.152,-0.081,0
-1.897,3.507,-1.784,-3.849,1
-2.321,3.166,-1.000,-2.715,1
-4.839,6.676,-0.243,-6.577,1
-0.721,-6.758,5.841,0.624,1
-0.206,9.221,-3.704,-6.810,0
0.235,-4.515,2.119,1.445,1
-2.165,3.021,-2.413,-2.424,1
-1.618,1.093,-0.355,-0.600,1
1.941,0.464,4.647,1.088,0
-0.959,0.091,6.220,-1.483,0
0.966,8.393,-1.361,-1.466,0
3.938,0.929,0.785,0.677,0
-1.726,-6.024,5.242,0.295,1
-3.855,3.522,-0.384,-3.861,1
1.602,6.125,0.529,0.479,0
2.826,9.401,-3.303,-1.051,0
0.771,9.086,-1.228,-1.500,0
-3.026,-0.062,0.686,-0.055,1
4.407,10.907,-4.577,-4.427,0
-1.294,2.674,-0.841,-2.032,1
-1.012,-0.190,-0.906,0.003,1
-2.572,-0.956,2.707,-0.166,1
2.974,8.794,-3.636,-1.375,0
2.570,-4.408,5.986,0.078,0
3.999,0.904,1.169,1.689,0
0.889,5.345,2.045,-0.194,0
-6.508,8.770,0.232,-3.937,1
-2.455,-9.041,8.862,-0.870,1
-3.392,3.356,-0.720,-3.523,1
-0.697,-1.767,-0.345,-0.124,1
-2.410,3.743,-0.402,-1.295,1
3.936,10.162,-3.824,-4.017,0
2.549,6.150,-1.161,-1.237,0
-1.327,9.498,2.441,-5.269,0
-0.016,9.748,0.154,-1.613,0
-3.930,-6.082,10.096,-1.015,1
0.390,-0.143,-0.032,0.351,1
2.736,-5.032,6.661,-0.579,0
-1.600,-9.583,9.404,0.082,1
-1.083,-0.312,1.282,0.413,1
3.802,-3.870,4.044,0.953,0
-1.411,-7.108,5.645,0.313,1
0.930,-3.797,4.643,-0.296,0
-1.399,-1.916,2.515,0.599,1
3.478,8.811,-3.189,-0.923,0
0.030,-1.051,1.402,0.774,1
1.794,-1.117,1.545,-0.261,0
2.449,-6.317,7.963,0.206,0
0.617,3.894,-4.728,-4.395,1
0.967,3.843,-4.931,-4.132,1
0.502,0.654,-1.179,0.400,1
0.243,0.573,-1.940,0.440,1
1.309,4.923,2.001,0.220,0
-0.384,-1.047,8.051,0.496,0
3.241,0.410,1.401,1.195,0
-0.768,3.460,-3.441,-3.428,1
3.820,8.995,-4.383,-4.033,0
-2.495,11.147,1.935,-3.464,0
-3.518,2.876,0.155,-1.209,1
-1.998,-6.607,4.825,-0.420,1
-3.580,-12.931,13.178,-2.568,1
-2.668,-10.452,9.114,-1.732,1
-0.278,8.188,-3.134,-2.528,0
0.202,1.918,-3.283,-0.618,1
4.885,1.599,-0.000,1.640,0
5.782,5.579,-2.409,-0.056,0
-3.269,-12.741,15.557,-0.142,1
-2.565,-5.790,6.012,0.047,1
1.018,9.109,-0.621,-1.713,0
4.153,-3.936,2.863,-0.018,0
-2.967,-13.287,13.473,-2.627,1
-2.591,-0.106,1.280,1.041,1
-4.733,-6.179,11.388,-1.074,1
-0.127,-1.151,-0.951,0.578,1
3.966,10.168,-4.113,-4.606,0
1.099,0.639,5.989,-0.583,0
-2.460,12.730,0.917,-7.642,0
2.668,10.216,-3.441,-4.007,0
0.265,2.407,-2.842,-0.600,1
-2.352,-4.836,6.648,-0.060,1
4.644,-3.373,2.598,0.553,0
-1.258,1.589,7.008,0.425,0
3.764,2.781,0.661,0.342,0
2.852,9.010,-3.761,-3.337,0
1.257,4.873,-5.286,-5.874,1
-3.730,-12.972,12.982,-2.684,1
-1.682,-6.812,7.140,1.332,1
1.335,6.119,0.465,0.498,0
2.486,-0.995,5.340,-0.155,0
3.864,3.706,0.704,0.352,0
-0.001,0.139,-0.197,0.008,1
-0.531,-0.097,-0.218,1.043,1
2.507,1.159,3.925,0.126,0
-0.348,-0.387,-0.478,0.626,1
-3.080,0.608,2.704,-0.238,1
0.836,1.107,-2.471,-0.063,1
0.862,2.696,4.291,0.547,0
-3.278,1.802,0.180,-2.393,1
-1.897,-6.789,5.276,-0.325,1
4.021,-2.700,2.496,0.366,0
-2.537,-6.959,8.805,1.529,1
2.568,3.514,0.614,-0.407,0
1.775,-6.433,8.150,-0.898,0
-2.648,10.137,-1.331,-5.471,0
3.896,-4.790,3.395,-0.538,0
3.884,10.028,-3.930,-4.082,0
1.364,-4.776,8.418,-1.884,0
-0.036,1.525,-1.409,-0.761,1
-1.808,-8.813,8.709,-0.217,1
-1.445,2.144,-0.472,-1.668,1
-0.214,-0.683,0.097,1.196,1
5.276,0.139,0.121,1.143,0
2.888,0.447,4.591,-0.244,0
-1.651,-8.498,9.112,1.238,1
-0.847,3.133,-3.011,-2.939,1
-2.950,-8.273,10.265,1.163,1
-2.570,-6.845,9.000,2.135,1
5.019,8.598,-2.938,-1.281,0
-0.550,2.866,-1.649,-2.432,1
-2.827,-9.041,9.069,-0.982,1
-1.728,-6.841,8.949,0.681,1
-2.772,3.278,-0.935,-3.146,1
1.581,0.869,-2.314,0.824,1
2.243,-4.143,5.233,-0.402,0
0.845,3.483,-3.631,-1.396,1
-1.545,-10.150,9.615,-1.233,1
-0.492,0.894,-1.628,-0.569,1
-0.898,-4.486,2.201,0.507,1
-1.844,-8.648,7.680,-0.667,1
-0.961,2.696,-3.123,-1.312,1
3.941,-3.290,3.167,1.087,0
0.553,-3.462,1.705,1.101,1
-6.651,6.793,0.686,-7.589,1
-3.793,-12.710,12.796,-2.825,1
-3.137,0.422,2.623,-0.064,1
-4.209,4.728,-0.491,-5.216,1
3.779,2.576,1.310,0.566,0
0.173,7.870,0.269,-3.788,0
5.723,5.831,-2.410,-0.245,0
-2.341,12.378,0.704,-7.584,0
0.706,-5.498,8.337,-2.872,0
4.669,1.310,0.055,1.909,0
-3.718,-8.509,12.363,-0.955,1
-0.048,-0.561,7.721,0.453,0
-1.074,-6.311,5.355,0.805,1
-4.388,-7.727,11.966,-1.454,1
4.407,-0.070,2.042,1.132,0
3.156,2.891,0.597,0.798,0
4.145,7.257,-1.915,-0.861,0
1.590,2.212,-3.118,-0.117,1
-1.506,0.070,6.868,-0.506,0
-1.878,-6.587,4.849,-0.022,1
3.821,0.232,2.013,2.056,0
0.575,10.111,-1.692,-4.392,0
-5.882,7.658,0.556,-2.916,1
4.247,1.482,-0.484,0.953,0
-0.102,1.819,-2.217,-0.567,1
4.174,3.334,-1.424,0.604,0
-0.247,1.937,-2.470,-0.805,1
2.523,2.237,2.724,0.794,0
-1.706,3.309,-2.283,-2.198,1
-2.281,-0.857,2.719,0.044,1
-4.945,3.300,1.063,-1.444,1
4.646,10.533,-4.585,-4.206,0
4.241,-2.485,1.608,0.716,0
-3.564,-8.383,12.393,-1.282,1
1.733,3.954,-4.741,-2.502,1
4.636,-2.661,2.836,1.199,0
0.269,4.987,-5.151,-6.391,1
-2.053,3.838,-0.795,-1.214,1
-1.939,1.571,0.046,-1.122,1
-4.553,-12.585,15.442,-1.498,1
4.828,7.760,-2.449,-1.222,0
-4.289,-7.863,11.839,-1.898,1
2.877,-4.060,3.626,-0.325,0
-3.820,-13.055,16.958,-2.305,1
-2.979,2.345,0.527,-0.402,1
0.748,7.276,1.150,-0.539,0
-2.567,-6.882,7.542,0.708,1
0.662,9.659,-0.288,-1.664,0
0.049,6.144,1.783,-0.721,0
-2.007,-6.719,9.016,0.100,1
-0.118,-1.579,8.030,-0.028,0
2.923,6.046,-0.112,-0.587,0
3.689,9.887,-4.079,-4.366,0
-3.224,2.793,0.323,-0.861,1
3.340,-4.614,3.982,-0.238,0
1.164,3.913,-4.554,-3.867,1
4.707,8.296,-2.561,-1.490,0
1.580,-4.708,7.919,-1.549,0
-3.312,0.101,0.553,-0.296,1
5.591,10.464,-4.384,-4.338,0
3.577,2.400,1.891,0.732,0
