variance;skewness;curtosis;entropy;class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;8;1,684685525;2,40297644;1,603026499;0;;0,2,1,4,3,9,5,6;0;;;;;;;7;2,465725612;2,139870781;0;;;;;;;;;;;;;;;
;;;;;;;;;;;;7;1,600418364;0;;;;;;8;2,465725612;2,853624171;1,603026499;0;;;;;;;;;;;;;;
;;;;;;;0,2,1,4,3,9;5,6,7;8;;;8;1,818507117;1,603026499;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;0,2,1,4,3,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;5,6,7;1,544692604;0;;;;;;;;;;;;;0,2,1,4,3,9;5,6;7,8;;;2,465725612;;;;;;;;;;;;
;;;;;;8;1,238505922;1,603026499;0;;;;;;;;;;;0,2,1,4,3,9;0;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;5,6;2,853624171;0;;;;;;;;;;;;;;;;
;;;;;;;0,2,1,4,3,9,5,6,7;8;;;;;;;;;;;;7,8;2,465725612;2,853624171;0;;;;;;;;;;;;;;;
;;;;;;0,2,1,4,3,9,5,6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
